,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Te Anau,-45.4167,167.7167,69.1,54,100,5.91,NZ,1612754873
1,Cape Town,-33.9258,18.4232,66.99,72,0,14.97,ZA,1612754841
2,Narsaq,60.9167,-46.05,39.2,28,20,39.12,GL,1612754878
3,Hobart,-42.8794,147.3294,66.2,45,40,18.41,AU,1612754747
4,Petropavlovsk-Kamchatskiy,53.0452,158.6483,24.8,80,90,8.95,RU,1612754863
5,Pankrushikha,53.8319,80.3406,12.18,95,93,9.37,RU,1612754886
6,Kabinda,-6.1333,24.4833,68.38,94,100,3.56,CD,1612754888
7,Punta Arenas,-53.15,-70.9167,60.8,44,75,12.66,CL,1612754890
8,Vaini,-21.2,-175.2,77.0,94,90,12.66,TO,1612754892
9,Nemuro,43.3236,145.575,19.4,49,20,9.22,JP,1612754893
10,Ushtobe,45.2514,77.9838,35.2,82,100,2.39,KZ,1612754896
11,Busselton,-33.65,115.3333,66.99,96,98,8.01,AU,1612754897
12,Chapais,49.7834,-74.8492,5.0,66,90,9.22,CA,1612754899
13,Hermanus,-34.4187,19.2345,62.01,79,0,3.0,ZA,1612754900
14,Mangan,27.5167,88.5333,68.05,21,0,3.83,IN,1612754905
15,Mataura,-46.1927,168.8643,73.26,47,100,2.64,NZ,1612754907
16,New Norfolk,-42.7826,147.0587,64.99,63,88,3.0,AU,1612754910
17,Tasiilaq,65.6145,-37.6368,28.4,46,20,20.71,GL,1612754912
18,Thompson,55.7435,-97.8558,-27.4,68,75,18.41,CA,1612754914
19,Hong Kong,22.2855,114.1577,73.0,78,10,3.0,HK,1612754877
20,Yellowknife,62.456,-114.3525,-34.01,67,40,8.05,CA,1612754763
21,Butaritari,3.0707,172.7902,80.89,79,28,17.74,KI,1612754922
22,Longyearbyen,78.2186,15.6401,15.8,41,0,16.11,SJ,1612754923
23,Hilo,19.7297,-155.09,77.0,61,90,5.75,US,1612754924
24,Ferme-Neuve,46.7001,-75.4493,6.8,72,0,3.44,CA,1612754926
25,Khatanga,71.9667,102.5,-25.22,80,36,13.06,RU,1612754927
26,Jamestown,42.097,-79.2353,12.0,79,90,8.05,US,1612754918
27,Bambanglipuro,-7.95,110.2833,86.18,66,91,2.46,ID,1612754930
28,Nome,64.5011,-165.4064,-4.0,71,1,5.75,US,1612754932
29,Torbay,47.6666,-52.7314,30.0,74,90,9.22,CA,1612754933
30,Kabo,7.6994,18.629,64.08,26,96,4.92,CF,1612754935
